Company Name,Fortune 100/500 rank,Industry,Quote/Statement(s),Source Title,Source URL,Date Published,Source Type,Search Prompt Used,Relevant to Internal AI Workflow Use/Aug?,Relevant to Automation Impact?,Primary Relevance,Credible Commitment,Include in Final Dataset,Notes/Any relevant thoughts/analysis,Stopwords,Characterizing Words,,,Coder initials
Apple,4,"Computers, Office Equipment",“Making significant changes within its artificial intelligence division.. restructuring its team... following the announcement of the retirement of its leading AI figure.” ,Apple to Revamp AI Team After Announcing Top Executive’s Departure,https://www.wsj.com/tech/ai/apple-to-revamp-ai-team-after-announcing-top-execs-departure-6f140167,12/01/25,Editorial / case-study coverage,2,Yes,Yes,Augmentation/internal workflow use,,Yes,"This is important because it shows AI-related restructuring at Apple. The piece indicates internal role and leadership changes tied to Apple’s AI execution, though not layoffs.","apple
ai
team
executive","revamp
restructure
departure
leadership",,,NL
Apple,4,"Computers, Office Equipment",“Top executive in charge of artificial intelligence models is leaving... roughly 100-person team responsible for the company’s large language models”; “Apple’s human resources organization has been instructed to ramp up recruitment and retention efforts.”,Apple loses top AI models executive to Meta’s hiring spree,https://www.latimes.com/business/story/2025-07-08/apple-loses-top-ai-models-executive-to-metas-hiring-spree,07/28/25,Editorial / case-study coverage,2,Yes,Yes,Augmentation/internal workflow use,,Yes,This is relevant for workforce effects of AI strategy because it shows Apple losing AI talent and responding with recruitment and retention efforts. It points to role and talent competition rather than layoffs.,"apple, ai, meta, executive","departure, hiring, models, shakeup",,,NL
"JPMorgan Chase
",11,Commercial Banks,"AI coding tools, meanwhile, have vastly improved and led Beer to work on rebuilding what she calls “the factory,” which encompasses efforts to rethink how product teams and engineers build.AI’s impact on the future of work has been a recurring theme in public commentary from JPMorgan CEO Jamie Dimon. He’s acknowledged the bank already has redeployment plans in place for workers that will be displaced by AI, and even posited that these tools will reap big productivity gains that could result in a shorter work week.",How JPMorgan is reshaping work at the bank with a $19.8 billion tech budget,https://finance.yahoo.com/sectors/technology/articles/jpmorgan-cio-reshaping-bank-19-173218950.html,4/29/2026,Executive interview / business press,1,Yes,Yes,Augmentation/internal workflow use,High,Yes,"Useful because it explicitly focuses on task decomposition, automation boundaries, and the redesign of work. It is especially relevant for understanding how JPMorgan thinks about what to automate versus where humans remain necessary. ",,,,,
"JPMorgan Chase
",11,Commercial Banks,"At the heart of the bank’s AI transformation is LLM Suite, a proprietary platform powered by leading third-party large language models (LLMs) that has automated various processes and placed AI tools directly in employees’ hands.  The idea was driven by many factors, including a belief that gen AI would be a highly democratizing technology. If we get the technology into employees’ hands—with change management and training—they’ll be best positioned to innovate and put it to good use. That thesis played out as expected.",JPMorgan Chase’s Derek Waldron on building an AI-first bank culture,https://www.mckinsey.com/industries/financial-services/our-insights/jpmorgan-chases-derek-waldron-on-building-an-ai-first-bank-culture,10/28/25,Executive interview,1,Yes,Yes,Augmentation/internal workflow use,High,Yes,Talkss about their proprietary platform powered by (LLMs) that has automated various processes and placed AI tools directly in employees’ hands. No mention of laying off but lot of emphasis on training and upskilling.,"https
says",,,,AG
"JPMorgan Chase
",11,Commercial Banks,"We’re already seeing productivity gains that will free up capacity, which we will reinvest in growth. We will continue to upskill, reskill and redeploy talent as technology evolves and productivity increases. While it will likely be the outcome in certain jobs, the goal is not fewer headcount; the goal is compounding performance with a growth-first mindset.
","Letter to Shareholders from Jennifer A. Piepszak, Annual Report 2025",https://www.jpmorganchase.com/ir/annual-report/2025/ar-ceo-letter-jennifer-piepszak,4/5/26,Annual report / shareholder letter,2,Yes,Yes,Augmentation/internal workflow use,High,Yes,"Ties AI to task automation, productivity gains, employee tools, reskilling, redeployment, and the possibility that some jobs will be affected without making headcount reduction the goal",,,,,AG
"JPMorgan Chase
",11,Commercial Banks,"The Firm’s headcount has meaningfully increased over the last five years driven
by business and volume growth, geographical expansion and acquisitions. Additionally, our investments in technology and AI help our employees work
more efficiently and absorb further volume growth",Full Investor Day 2025 Presentation,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/events/2025/jpmc-2025-investor-day/full-presentation.pdf,3/31/25,Investor presentation,2,Yes,Yes,Augmentation/internal workflow use,High,Yes,Formal investor-facing evidence that technology and AI are being positioned as employee productivity tools across the bank. Also mentions increased hiring and no plans of lay-offs.,,,,,AG
Bank of America,17,Commercial Banks,"Bank of America’s approach to AI includes human oversight, transparency, and accountability for all outcomes. AI is having a transformative effect on employee efficiency and operational excellence,” said Aditya Bhasin, Chief Technology & Information Officer at Bank of America. “Our use of AI at scale and around the world enables us to further enhance our capabilities, improve employee productivity and client service, and drive business growth.”","AI Adoption by BofA’s Global Workforce Improves Productivity, Client Service",https://newsroom.bankofamerica.com/content/newsroom/press-releases/2025/04/ai-adoption-by-bofa-s-global-workforce-improves-productivity--cl.html,4/8/25,Corporate press release,1,Yes,Yes,Augmentation/internal workflow use,Medium,Yes,Emphasis on productivity and efficiency using automation and augmentation. No mention of lay offs.,,,,,AG
Bank of America,17,Commercial Banks,"Technology, and AI in particular, will continue to transform employee productivity, strengthen Operational Excellence and drive better outcomes for our clients, while helping to improve returns. These investments deliver value both internally and externally and help position us for the future. For clients, it translates into unique capabilities, deeper insights and seamless experiences. For teammates, it helps us streamline processes, enhance productivity and reduce costs—all while improving risk management and operational resilience. We have many initiatives funded and moving through implementation, in addition to the already deployed capabilities in commercial banking, audit, investment banking, markets and throughout the consumer bank, with many more to come. With the current tool set, as mentioned earlier, we have been able to run on relatively flat headcount from 2007 until today.",A letter to shareholders from Chair and CEO Brian Moynihan,https://newsroom.bankofamerica.com/content/newsroom/stories/2026/03/a-letter-to-shareholders-from-chair-and-ceo--brian-moynihan.html,"March 23, 2026",Annual report / shareholder letter,1,Yes,Yes,Augmentation/internal workflow use,High,Yes,"Discusses formal management discussion of technology investment, efficiency, and workforce implications. Says headcount has remained same and AI has long been integrated in various ways.",,,,,AG
Bank of America,17,Commercial Banks,"Less than four months ago, Bank of America’s chief executive, Brian T. Moynihan, volunteered in a TV interview what he would say to his 210,000 employees about the chance of artificial intelligence replacing human work.

“You don’t have to worry,” he said. “It’s not a threat to their jobs.”

Last week, after Bank of America reported $8.6 billion in profit for the first quarter — $1.6 billion more than the same period a year earlier — Mr. Moynihan struck a different tone.

The bank’s bottom line, he said, was helped by shedding 1,000 jobs through attrition by “eliminating work and applying technology,” which he repeatedly specified was artificial intelligence. He predicted more of that in the months and years to come.",Job Cuts Driven by A.I. Are Rising on Wall Street,https://www.nytimes.com/2026/04/21/business/ai-job-cuts-wall-street.html,"April 21, 2026",Editorial / commentary,2,No,Yes,Automating tasks,High,Yes,Shows contradiction between his earlier framing about workern not needing to worry about their jobs. Makes the classification of augmenting/automation a bit complicated.,,,,,AG
Bank of America,17,Commercial Banks,"The bank's view for now is that this will not mean lay offs so much as slower hiring growth firm-wide.

The company is familiar with this strategy; it lowered its headcount by approximately 81,000 between 2010 and the end of September to 213,384 positions, according to filings.",Bank of America outlines plans for earnings growth and AI in first investors day in years,https://finance.yahoo.com/news/bank-of-america-outlines-plans-for-earnings-growth-and-ai-in-first-investors-day-in-years-100056619.html,"November 6, 2025",Business press coverage,2,Yes,No,Automating tasks,Medium,Yes,"Addresses hiring effects and says the likely near-term outcome is slower hiring rather than mass layoffs, which is still problematic.",,,,,AG
Microsoft,11,Computer Software,"""More than any transformation before it, this generation of AI is radically changing every layer of the tech stack, and we are changing with it."" 
","Microsoft Annual Report 2025, Shareholder Letter",https://www.microsoft.com/investor/reports/ar25/index.html,"October 15, 2025",Earnings call / investor communication,1,No,No,General corporate strategy,,No,Broad strategic framing of AI transformation and competitiveness rather than employee workflow use or labor impact,,,,,JK
Microsoft,11,Computer Software,"
We are focused on being Customer Zero, applying AI to reduce toil and improve flow in our own work while creating a playbook we can share with the world.
","Microsoft Annual Report 2025, Shareholder Letter",https://www.microsoft.com/investor/reports/ar25/index.html,"October 15, 2025",Earnings call / investor communication,1,Yes,No,Augmentation/internal workflow use,Medium,Yes,Frames AI as improving internal employee workflows and reducing friction in daily work.,"the
and
with
for
from
this
that
into
more
customers
platform
products
services
innovation","skilling
credentials
accessibility
cybersecurity
sustainability
accountability
resilience
productivity
handoffs",,,JK
Microsoft,11,Computer Software,"We’re also embracing a new way of working—one that expands job scopes, reduces handoffs, and gives teams tools to scale productivity in nonlinear ways. This isn’t just about driving efficiency. It’s about empowering our people to dream bigger and get to “job complete” faster, with less friction and greater impact than ever before.","Microsoft Annual Report 2025, Shareholder Letter",https://www.microsoft.com/investor/reports/ar25/index.html,"October 15, 2025",Earnings call / investor communication,1,Yes,Yes,Both auto/aug,Medium,Yes,Combines productivity and empowerment rhetoric with signals of task automation and workflow restructuring.,,,,,JK
Microsoft,11,Computer Software,"Our skilling initiatives will help 20 million people earn AI credentials over the next two years, from foundational fluency to advanced technical training. And to support our work with deeper research and policy insights, our new AI Economy Institute will explore how AI is reshaping education and work, helping us bridge the gap between technological innovation and societal impact.","Microsoft Annual Report 2025, Shareholder Letter",https://www.microsoft.com/investor/reports/ar25/index.html,"October 15, 2025",Earnings call / investor communication,1,Yes,No,Augmentation/internal workflow use,Medium,Yes,Strong emphasis on workforce training and adaptation to AI adoption.,,,,,JK
Microsoft,11,Computer Software,"
Carvana has reduced inbound calls per sale by 45 percent, freeing its staff to focus on complex, high-value support.",The future of work is here: Transforming our employee experience with AI,https://www.microsoft.com/insidetrack/blog/the-future-of-work-is-here-transforming-our-employee-experience-with-ai/,"July 31, 2025",Company blog / newsroom article,1,Yes,Yes,Augmentation/internal workflow use,Low,Yes,Automation framed positively as shifting employees toward higher-value work rather than replacement.,"employees
employee
enterprise
productivity
experience
digital","engagement
burnout
skilling
governance
retrieval
adoption
champions
workflows
defragment",,,JK
Microsoft,11,Computer Software,"Copilot combines the power of large language models (LLMs) with your organization’s data to turn your employees’ words into some of the most powerful productivity tools on the planet—all within the flow of work. It works alongside the Microsoft 365 apps people use every day, including Word, Excel, PowerPoint, Outlook, Teams, and more, to provide real-time intelligent assistance.",The future of work is here: Transforming our employee experience with AI,https://www.microsoft.com/insidetrack/blog/the-future-of-work-is-here-transforming-our-employee-experience-with-ai/,"July 31, 2025",Company blog / newsroom article,1,Yes,No,General corporate strategy,Medium,No,Clear employee-centric augmentation framing focused on productivity and engagement,,,,,JK
Microsoft,11,Computer Software,"deploying three types of agents, ones that retrieve information for us, ones that act on our behalf, and ones that can automatically complete end-to-end workflows on behalf of our employees.  ",The future of work is here: Transforming our employee experience with AI,https://www.microsoft.com/insidetrack/blog/the-future-of-work-is-here-transforming-our-employee-experience-with-ai/,"July 31, 2025",Company blog / newsroom article,1,Yes,Yes,Augmentation/internal workflow use,Low,Yes,desscribes the level of automation to be increasing because of/through method of automation through AI agens but still posititons them within / a part of employee workflows ,,,,,JK
Microsoft,11,Computer Software,"But those skills are new for nearly every employee on the planet, which is why you need to focus on skilling and reinforcement to help employees to maximize the potential value of generative AI in the enterprise. ",The future of work is here: Transforming our employee experience with AI,https://www.microsoft.com/insidetrack/blog/the-future-of-work-is-here-transforming-our-employee-experience-with-ai/,"July 31, 2025",Company blog / newsroom article,1,Yes,No,Augmentation/internal workflow use,Medium,Yes,"places emphasis on the training of employees, and emphasiss on reinforcement to beb necessary for a successful adoption of Ai into the workflows ",,,,,JK
Microsoft,11,Computer Software,"“I also want to acknowledge the uncertainty and seeming incongruence of the times we’re in. By every objective measure, Microsoft is thriving—our market performance, strategic positioning, and growth all point up and to the right… And yet, at the same time, we’ve undergone layoffs. This is the enigma of success in an industry that has no franchise value.”","Recommitting to our why, what, and how",https://blogs.microsoft.com/blog/2025/07/24/recommitting-to-our-why-what-and-how/,7/24/25,Company blog / newsroom article,2,No,Yes,Unclear,Medium,No,"Directly acknowledges layoffs alongside strong company performance, framing workforce reductions as part of ongoing industry and technological transformation",,,,,JK
Microsoft,11,Computer Software,"“This platform shift is reshaping not only the products we build and the business models we operate under, but also how we are structured and how we work together every day. It might feel messy at times, but transformation always is. Teams are reorganizing. Scopes are expanding. New opportunities are everywhere.”","Recommitting to our why, what, and how",https://blogs.microsoft.com/blog/2025/07/24/recommitting-to-our-why-what-and-how/,7/25/25,Company blog / newsroom article,2,Yes,Yes,Augmentation/internal workflow use,Medium,Yes,"Frames AI transformation as simultaneously restructuring organizational workflows and changing employee responsibilities, while presenting disruption as opportunity","company
mission
platform
product
organization
tools
world","layoffs
headcount
unlearning
learning
agility
transformation
security
priorities
reimagining",,,JK
Microsoft,11,Computer Software,"“Just imagine if all 8 billion people could summon a researcher, an analyst, or a coding agent at their fingertips… And consider how organizations, empowered with AI, could unlock entirely new levels of agility and innovation by transforming decision-making, streamlining operations, and enabling every team to achieve more together than ever before.”","Recommitting to our why, what, and how",https://blogs.microsoft.com/blog/2025/07/24/recommitting-to-our-why-what-and-how/,7/26/25,Company blog / newsroom article,2,Yes,Yes,Augmentation/internal workflow use,Medium,Yes,Combines empowerment rhetoric with explicit operational streamlining and AI-agent integration into organizational work,,,,,JK
Microsoft,11,Computer Software,“The success we want to achieve will be defined by our ability to go through this difficult process of ‘unlearning’ and ‘learning.’ It requires us to meet changing customer needs… while also creating new categories with new business models and a new production function.”,"Recommitting to our why, what, and how",https://blogs.microsoft.com/blog/2025/07/24/recommitting-to-our-why-what-and-how/,7/27/25,Company blog / newsroom article,2,Yes,Yes,Both auto/aug,Medium,No,"Frames AI transition as requiring workforce adaptation, organizational restructuring, and new production models tied to technological chang
",,,,,JK
Microsoft,11,Computer Software,“46% of leaders say their organization is using agents to fully automate workstreams or business processes”,"The 2025 Annual Work Trend Index: The Frontier Firm is born
",https://blogs.microsoft.com/blog/2025/04/23/the-2025-annual-work-trend-index-the-frontier-firm-is-born/,4/23/25,Company blog / newsroom article,2,Yes,Yes,Automating tasks,Medium,No,Explicit automation framing focused on AI agents fully automating workflows and business processes.,,,,,JK
Microsoft,11,Computer Software,"“33% of leaders are considering headcount reductions, 78% are considering hiring for new AI roles.”","The 2025 Annual Work Trend Index: The Frontier Firm is born
",https://blogs.microsoft.com/blog/2025/04/23/the-2025-annual-work-trend-index-the-frontier-firm-is-born/,4/24/25,Company blog / newsroom article,2,No,Yes,Automating tasks,Medium,No,Direct discussion of workforce restructuring and potential job displacement linked to AI adoption,"agents
organization
business
employees
leaders
intelligence","frontier
headcount
reskilling
workforce
delegation
ratio
workstreams
accelerator
hiring",,,JK
Microsoft,11,Computer Software,“Pairing irreplaceable human insight with AI and agents to unlock outsized value.”,"The 2025 Annual Work Trend Index: The Frontier Firm is born
",https://blogs.microsoft.com/blog/2025/04/23/the-2025-annual-work-trend-index-the-frontier-firm-is-born/,4/25/25,Company blog / newsroom article,2,Yes,No,Augmentation/internal workflow use,Medium,No,Frames AI as complementary to human expertise rather than replacing workers.,,,,,JK
Microsoft,11,Computer Software,“Employees must build AI skills and companies must support them with the right tools and training.”,"The 2025 Annual Work Trend Index: The Frontier Firm is born
",https://blogs.microsoft.com/blog/2025/04/23/the-2025-annual-work-trend-index-the-frontier-firm-is-born/,4/26/25,Company blog / newsroom article,2,Yes,No,Augmentation/internal workflow use,Medium,No,Emphasizes workforce adaptation and training as necessary components of AI adoption,,,,,JK
UPS,47,"Mail, Package, and Freight Delivery",“UPS continues to explore ways technologies like AI can speed up processes or handle currently manual tasks for employees.” UPS is investing in “upskilling its workforce globally” so employees can confidently use “data analytics and AI as their role evolves.” Tomé said automated sortation will be paired with “the opportunity to upskill our people and create opportunities for them to do different kind of work.”,"How UPS is using AI, from shipper pricing to customs clearance",https://www.supplychaindive.com/news/ups-ai-employee-upskilling-network-changes/816412/,4/6/26,Trade coverage / executive interview,1,Yes,Yes,Augmentation/internal workflow use,,Yes,"links AI to internal task automation, manual work reduction, process changes, and employee upskilling. ","the
and
of
to
in
for
with
on
at
by
from
it
this
that
these
those
is
are
was
were
be
been
being
have
has
had
can
could
should
may
might
will
would
we
our
they
their
them
its
a
an
as
or
but
if
than
then
into
over
under
across
through
while
also
more
most
some
each
every
all
both
much
many
just
actually
before
after
during
today
year
last
one
some
UPS
Amazon
FedEx
Mallory
Freeman
Carol
Tomé
Vishal
Talwar
Alan
Amling
Supply
Chain
Dive
Digital
Supply
Chain
Institute
University
Tennessee
Knoxville
EVP
CEO
VP
president
assistant
professor
officer
company
carrier
customers
employees
people
workforce
salespeople
organizations
interview
conversation
said
according
example
particularly
remains
focused
continues
looking
invested
investing
explore
use
using
used
help
helping
could
looking
goal
mind
era
priority
capabilities
technology
systems
tools
data
analytics
AI
generative
global
daily
major
right
new
current","powered
trucks
planes
anticipate
limit
disruptions
customs
hangups
curate
clean
accessible
inform
network
adjustments
challenging
peak
season
inclement
weather
tests
impact
planned
routing
digital
twin
simulating
affect
package
flows
implements
processes
decisions
simulate
adapt
trade
policies
tariffs
shipments
borders
machine
learning
imports
abide
correct
harmonized
product
classification
codes
rules
historic
changes
compromising
service
eliminated
exemption
clearance
packages
manual
intervention
enhanced
brokerage
integrating
agentic
advanced
streamlined
entry
critical
navigates
upheaval
network
overhaul
driven
reduced
volume
creatively
leverage
synchronize
delivery
reliability
pricing
edge
science
art
real-time
guidance
boost
win
rates
revenue
tribal
knowledge
past
experience
negotiate
deal
scored
negotiating
terms
conditions
discounting
lower
upskilling
speed
handle
tasks
learning
development
programs
confidently
role
evolves
better
outcomes
robots
sorting
bagging
label
application
opportunity
create
different
work
oversee
fluency
specialists
skillsets
succeed
implementing
wider
scale
operational
improvements
change
management
distributing
money
training
wield
effectively
biggest
issue",,,AG
